name,original_name,cell,x_um,y_um,width_um,height_um,orient,row
Xw0_pd2_6_inv,Xw0_pd2_6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,61.600000000000016,19.6,2.24,3.92,N,bottom_ctrl_4
Xw0_pd2_7_inv,Xw0_pd2_7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,61.600000000000016,23.52,2.24,3.92,FS,bottom_ctrl_5
Xw1_a0_inv,Xw1_a0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,61.600000000000016,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xw1_a1_inv,Xw1_a1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,61.600000000000016,31.36,2.24,3.92,FS,bottom_ctrl_7
Xw1_a2_inv,Xw1_a2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,61.600000000000016,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xw1_a3_inv,Xw1_a3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,61.600000000000016,606.28,2.24,3.92,N,top_ctrl_2
Xw1_a4_inv,Xw1_a4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,61.600000000000016,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xw1_a5_inv,Xw1_a5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,62.16000000000002,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xw1_a6_inv,Xw1_a6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.28000000000002,3.92,2.24,3.92,N,bottom_ctrl_0
Xw1_a7_inv,Xw1_a7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.28000000000002,7.84,2.24,3.92,FS,bottom_ctrl_1
Xw1_a8_inv,Xw1_a8_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,11.76,2.24,3.92,N,bottom_ctrl_2
Xw1_a9_inv,Xw1_a9_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,15.68,2.24,3.92,FS,bottom_ctrl_3
Xw1_grp0_inv,Xw1_grp0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,19.6,2.24,3.92,N,bottom_ctrl_4
Xw1_grp1_inv,Xw1_grp1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,23.52,2.24,3.92,FS,bottom_ctrl_5
Xw1_grp2_inv,Xw1_grp2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xw1_grp3_inv,Xw1_grp3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,31.36,2.24,3.92,FS,bottom_ctrl_7
Xw1_grp4_inv,Xw1_grp4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xw1_grp5_inv,Xw1_grp5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,606.28,2.24,3.92,N,top_ctrl_2
Xw1_grp6_inv,Xw1_grp6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,63.84000000000002,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xw1_grp7_inv,Xw1_grp7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,64.40000000000002,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xw1_pd0_0_inv,Xw1_pd0_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,65.52000000000002,3.92,2.24,3.92,N,bottom_ctrl_0
Xw1_pd0_1_inv,Xw1_pd0_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,65.52000000000002,7.84,2.24,3.92,FS,bottom_ctrl_1
Xw1_pd0_2_inv,Xw1_pd0_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,11.76,2.24,3.92,N,bottom_ctrl_2
Xw1_pd0_3_inv,Xw1_pd0_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,15.68,2.24,3.92,FS,bottom_ctrl_3
Xw1_pd1_0_inv,Xw1_pd1_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,19.6,2.24,3.92,N,bottom_ctrl_4
Xw1_pd1_1_inv,Xw1_pd1_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,23.52,2.24,3.92,FS,bottom_ctrl_5
Xw1_pd1_2_inv,Xw1_pd1_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xw1_pd1_3_inv,Xw1_pd1_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,31.36,2.24,3.92,FS,bottom_ctrl_7
Xw1_pd2_0_inv,Xw1_pd2_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xw1_pd2_1_inv,Xw1_pd2_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,606.28,2.24,3.92,N,top_ctrl_2
Xw1_pd2_2_inv,Xw1_pd2_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,66.08000000000001,610.1999999999999,2.24,3.92,FS,top_ctrl_3
