name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xr0_bit11_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,11,1,1,301.35,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit13_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,13,1,1,327.455,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit15_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,15,1,1,353.56,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit17_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,17,1,1,379.665,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit19_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,19,1,1,405.765,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit21_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,21,1,1,431.87,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit23_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,23,1,1,457.975,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit25_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,25,1,1,484.08,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit27_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,27,1,1,510.18,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit29_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,29,1,1,536.285,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
