name,original_name,cell,x_um,y_um,width_um,height_um,orient,row
Xeq_reduce_s0_0_nand4,Xeq_reduce_s0_0_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,3.92,7.84,3.92,N,bottom_ctrl_0
Xeq_reduce_s0_4_nand4,Xeq_reduce_s0_4_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,7.84,7.84,3.92,FS,bottom_ctrl_1
Xw0_pd2_0_nand3,Xw0_pd2_0_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,11.76,6.16,3.92,N,bottom_ctrl_2
Xw0_pd2_1_nand3,Xw0_pd2_1_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,15.68,6.16,3.92,FS,bottom_ctrl_3
Xw0_pd2_2_nand3,Xw0_pd2_2_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,19.6,6.16,3.92,N,bottom_ctrl_4
Xw0_pd2_3_nand3,Xw0_pd2_3_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,23.52,6.16,3.92,FS,bottom_ctrl_5
Xw0_pd2_4_nand3,Xw0_pd2_4_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,27.439999999999998,6.16,3.92,N,bottom_ctrl_6
Xw0_pd2_5_nand3,Xw0_pd2_5_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,31.36,6.16,3.92,FS,bottom_ctrl_7
Xw0_pd2_6_nand3,Xw0_pd2_6_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,598.4399999999999,6.16,3.92,N,top_ctrl_0
Xw0_pd2_7_nand3,Xw0_pd2_7_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,602.3599999999999,6.16,3.92,FS,top_ctrl_1
Xw1_pd2_0_nand3,Xw1_pd2_0_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,606.28,6.16,3.92,N,top_ctrl_2
Xw1_pd2_1_nand3,Xw1_pd2_1_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,0.56,610.1999999999999,6.16,3.92,FS,top_ctrl_3
Xw1_pd2_2_nand3,Xw1_pd2_2_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,6.720000000000001,11.76,6.16,3.92,N,bottom_ctrl_2
Xw1_pd2_3_nand3,Xw1_pd2_3_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,6.720000000000001,15.68,6.16,3.92,FS,bottom_ctrl_3
Xw1_pd2_4_nand3,Xw1_pd2_4_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,6.720000000000001,19.6,6.16,3.92,N,bottom_ctrl_4
Xw1_pd2_5_nand3,Xw1_pd2_5_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,6.720000000000001,23.52,6.16,3.92,FS,bottom_ctrl_5
Xw1_pd2_6_nand3,Xw1_pd2_6_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,6.720000000000001,27.439999999999998,6.16,3.92,N,bottom_ctrl_6
Xw1_pd2_7_nand3,Xw1_pd2_7_nand3,gf180mcu_as_sc_mcu7t3v3__nand3_2,6.720000000000001,31.36,6.16,3.92,FS,bottom_ctrl_7
