kind,inst,port,bit,macro_pin
write_wbl_landing,Xw0_bit04_write_driver,w0,4,w0_data[4]
write_wbr_landing,Xw0_bit04_write_driver,w0,4,w0_data[4]
write_din,Xw0_bit05_write_driver,w0,5,w0_data[5]
write_enable,Xw0_bit05_write_driver,w0,5,w0_en
write_wbl_landing,Xw0_bit05_write_driver,w0,5,w0_data[5]
write_wbr_landing,Xw0_bit05_write_driver,w0,5,w0_data[5]
write_din,Xw0_bit06_write_driver,w0,6,w0_data[6]
write_enable,Xw0_bit06_write_driver,w0,6,w0_en
write_wbl_landing,Xw0_bit06_write_driver,w0,6,w0_data[6]
write_wbr_landing,Xw0_bit06_write_driver,w0,6,w0_data[6]
write_din,Xw0_bit07_write_driver,w0,7,w0_data[7]
write_enable,Xw0_bit07_write_driver,w0,7,w0_en
write_wbl_landing,Xw0_bit07_write_driver,w0,7,w0_data[7]
write_wbr_landing,Xw0_bit07_write_driver,w0,7,w0_data[7]
write_din,Xw1_bit00_write_driver,w1,0,w1_data[0]
write_enable,Xw1_bit00_write_driver,w1,0,w1_en
write_wbl_landing,Xw1_bit00_write_driver,w1,0,w1_data[0]
write_wbr_landing,Xw1_bit00_write_driver,w1,0,w1_data[0]
write_din,Xw1_bit01_write_driver,w1,1,w1_data[1]
write_enable,Xw1_bit01_write_driver,w1,1,w1_en
write_wbl_landing,Xw1_bit01_write_driver,w1,1,w1_data[1]
write_wbr_landing,Xw1_bit01_write_driver,w1,1,w1_data[1]
write_din,Xw1_bit02_write_driver,w1,2,w1_data[2]
write_enable,Xw1_bit02_write_driver,w1,2,w1_en
write_wbl_landing,Xw1_bit02_write_driver,w1,2,w1_data[2]
write_wbr_landing,Xw1_bit02_write_driver,w1,2,w1_data[2]
write_din,Xw1_bit03_write_driver,w1,3,w1_data[3]
write_enable,Xw1_bit03_write_driver,w1,3,w1_en
write_wbl_landing,Xw1_bit03_write_driver,w1,3,w1_data[3]
write_wbr_landing,Xw1_bit03_write_driver,w1,3,w1_data[3]
write_din,Xw1_bit04_write_driver,w1,4,w1_data[4]
write_enable,Xw1_bit04_write_driver,w1,4,w1_en
write_wbl_landing,Xw1_bit04_write_driver,w1,4,w1_data[4]
write_wbr_landing,Xw1_bit04_write_driver,w1,4,w1_data[4]
write_din,Xw1_bit05_write_driver,w1,5,w1_data[5]
write_enable,Xw1_bit05_write_driver,w1,5,w1_en
write_wbl_landing,Xw1_bit05_write_driver,w1,5,w1_data[5]
write_wbr_landing,Xw1_bit05_write_driver,w1,5,w1_data[5]
write_din,Xw1_bit06_write_driver,w1,6,w1_data[6]
write_enable,Xw1_bit06_write_driver,w1,6,w1_en
write_wbl_landing,Xw1_bit06_write_driver,w1,6,w1_data[6]
write_wbr_landing,Xw1_bit06_write_driver,w1,6,w1_data[6]
write_din,Xw1_bit07_write_driver,w1,7,w1_data[7]
write_enable,Xw1_bit07_write_driver,w1,7,w1_en
write_wbl_landing,Xw1_bit07_write_driver,w1,7,w1_data[7]
write_wbr_landing,Xw1_bit07_write_driver,w1,7,w1_data[7]
