name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xr0_bit00_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,0,0,0,164.285,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit01_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,1,0,0,190.34,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit02_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,2,0,0,216.4,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit03_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,3,0,0,242.455,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit04_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,4,0,0,268.515,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit05_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,5,0,0,294.57,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit06_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,6,0,0,320.63,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit07_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,7,0,0,346.685,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit00_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,0,0,0,372.745,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit01_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,1,0,0,398.8,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
