net,endpoints,track_x_um,has_macro_pin,has_row_select_sink,shapes
r0_pd2_5,17,90.63,false,true,120
r0_pd2_5_n,2,90.63,false,false,15
r0_pd2_6,17,91.31,false,true,120
r0_pd2_6_n,2,91.31,false,false,15
r0_pd2_7,17,91.99,false,true,120
r0_pd2_7_n,2,91.99,false,false,15
r0_pd2_8,17,92.67,false,true,120
r0_pd2_8_n,2,92.67,false,false,15
r0_pd2_9,17,93.35,false,true,120
r0_pd2_9_n,2,93.35,false,false,15
r1_a0_n,3,94.03,false,false,22
r1_a1_n,3,94.71,false,false,22
r1_a2_n,3,95.39,false,false,22
r1_a3_n,3,96.07,false,false,22
r1_a4_n,3,96.75,false,false,22
r1_a5_n,3,97.43,false,false,22
r1_a6_n,9,98.11,false,false,64
r1_a7_n,9,98.79,false,false,64
r1_a8_n,9,99.47,false,false,64
r1_a9_n,9,100.15,false,false,64
r1_addr[0],4,100.83,true,false,31
r1_addr[1],4,101.51,true,false,31
r1_addr[2],4,102.19,true,false,31
r1_addr[3],4,102.87,true,false,31
r1_addr[4],4,103.55,true,false,31
r1_addr[5],4,104.23,true,false,31
r1_addr[6],10,104.91,true,false,73
r1_addr[7],10,105.59,true,false,73
r1_addr[8],10,106.27,true,false,73
r1_addr[9],10,106.95,true,false,73
r1_en,257,136.4,true,true,1802
r1_grp0_n,2,107.63,false,false,15
r1_grp1_n,2,108.31,false,false,15
r1_grp2_n,2,108.99,false,false,15
r1_grp3_n,2,109.67,false,false,15
r1_pd0_0,65,130.68,false,true,456
r1_pd0_0_n,2,110.35,false,false,15
r1_pd0_1,65,130.88,false,true,456
r1_pd0_1_n,2,111.03,false,false,15
r1_pd0_2,65,131.08,false,true,456
r1_pd0_2_n,2,111.71,false,false,15
r1_pd0_3,65,131.28,false,true,456
r1_pd0_3_n,2,112.39,false,false,15
r1_pd1_0,65,132.4,false,true,456
r1_pd1_0_n,2,113.07,false,false,15
r1_pd1_1,65,132.6,false,true,456
r1_pd1_1_n,2,113.75,false,false,15
r1_pd1_2,65,132.8,false,true,456
r1_pd1_2_n,2,114.43,false,false,15
r1_pd1_3,65,133.0,false,true,456
r1_pd1_3_n,2,115.11,false,false,15
r1_pd2_0,17,134.16,false,true,120
r1_pd2_0_n,2,115.79,false,false,15
r1_pd2_1,17,134.36,false,true,120
r1_pd2_10,17,116.47,false,true,120
r1_pd2_10_n,2,116.47,false,false,15
r1_pd2_11,17,117.15,false,true,120
r1_pd2_11_n,2,117.15,false,false,15
r1_pd2_12,17,117.83,false,true,120
r1_pd2_12_n,2,117.83,false,false,15
r1_pd2_13,17,118.51,false,true,120
r1_pd2_13_n,2,118.51,false,false,15
r1_pd2_14,17,119.19,false,true,120
r1_pd2_14_n,2,119.19,false,false,15
r1_pd2_15,17,119.87,false,true,120
r1_pd2_15_n,2,119.87,false,false,15
r1_pd2_1_n,2,120.55,false,false,15
r1_pd2_2,17,134.56,false,true,120
r1_pd2_2_n,2,121.23,false,false,15
r1_pd2_3,17,134.76,false,true,120
r1_pd2_3_n,2,121.91,false,false,15
r1_pd2_4,17,122.59,false,true,120
r1_pd2_4_n,2,122.59,false,false,15
r1_pd2_5,17,123.27,false,true,120
r1_pd2_5_n,2,123.27,false,false,15
r1_pd2_6,17,123.95,false,true,120
r1_pd2_6_n,2,123.95,false,false,15
r1_pd2_7,17,124.63,false,true,120
r1_pd2_7_n,2,124.63,false,false,15
r1_pd2_8,17,125.31,false,true,120
r1_pd2_8_n,2,125.31,false,false,15
r1_pd2_9,17,125.99,false,true,120
r1_pd2_9_n,2,125.99,false,false,15
w0_a0_n,3,126.67,false,false,22
w0_a1_n,3,127.35,false,false,22
w0_a2_n,3,128.03,false,false,22
w0_a3_n,3,128.71,false,false,22
w0_a4_n,3,129.39,false,false,22
w0_a5_n,3,130.07,false,false,22
w0_a6_n,9,130.75,false,false,64
w0_a7_n,9,131.43,false,false,64
w0_a8_n,9,132.11,false,false,64
w0_a9_n,9,132.79,false,false,64
w0_addr[0],6,133.47,true,false,45
w0_addr[1],6,134.15,true,false,45
w0_addr[2],6,134.83,true,false,45
w0_addr[3],6,135.51,true,false,45
w0_addr[4],6,136.19,true,false,45
w0_addr[5],6,136.87,true,false,45
w0_addr[6],12,137.55,true,false,87
w0_addr[7],12,138.23,true,false,87
w0_addr[8],12,138.91,true,false,87
w0_addr[9],12,139.59,true,false,87
w0_en,258,22.88,true,true,1809
w0_grp0_n,2,140.27,false,false,15
w0_grp1_n,2,140.95,false,false,15
w0_grp2_n,2,141.63,false,false,15
w0_grp3_n,2,142.31,false,false,15
w0_pd0_0,65,17.16,false,true,456
w0_pd0_0_n,2,142.99,false,false,15
w0_pd0_1,65,17.36,false,true,456
w0_pd0_1_n,2,143.67,false,false,15
w0_pd0_2,65,17.56,false,true,456
w0_pd0_2_n,2,144.35,false,false,15
w0_pd0_3,65,17.76,false,true,456
w0_pd0_3_n,2,145.03,false,false,15
w0_pd1_0,65,18.88,false,true,456
w0_pd1_0_n,2,145.71,false,false,15
w0_pd1_1,65,19.08,false,true,456
w0_pd1_1_n,2,146.39,false,false,15
w0_pd1_2,65,19.28,false,true,456
w0_pd1_2_n,2,147.07,false,false,15
w0_pd1_3,65,19.48,false,true,456
w0_pd1_3_n,2,147.75,false,false,15
w0_pd2_0,17,20.64,false,true,120
w0_pd2_0_n,2,148.43,false,false,15
w0_pd2_1,17,20.84,false,true,120
w0_pd2_10,17,149.11,false,true,120
w0_pd2_10_n,2,149.11,false,false,15
w0_pd2_11,17,149.79,false,true,120
w0_pd2_11_n,2,149.79,false,false,15
w0_pd2_12,17,150.47,false,true,120
w0_pd2_12_n,2,150.47,false,false,15
w0_pd2_13,17,151.15,false,true,120
w0_pd2_13_n,2,151.15,false,false,15
w0_pd2_14,17,151.83,false,true,120
w0_pd2_14_n,2,151.83,false,false,15
w0_pd2_15,17,152.51,false,true,120
w0_pd2_15_n,2,152.51,false,false,15
w0_pd2_1_n,2,153.19,false,false,15
w0_pd2_2,17,21.04,false,true,120
w0_pd2_2_n,2,153.87,false,false,15
w0_pd2_3,17,21.24,false,true,120
w0_pd2_3_n,2,154.55,false,false,15
w0_pd2_4,17,155.23,false,true,120
w0_pd2_4_n,2,155.23,false,false,15
w0_pd2_5,17,155.91,false,true,120
w0_pd2_5_n,2,155.91,false,false,15
w0_pd2_6,17,156.59,false,true,120
w0_pd2_6_n,2,156.59,false,false,15
w0_pd2_7,17,157.27,false,true,120
w0_pd2_7_n,2,157.27,false,false,15
