name,original_name,cell,x_um,y_um,width_um,height_um,orient,row
Xw0_pd2_0_nand4,Xw0_pd2_0_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,3.92,7.84,3.92,N,bottom_ctrl_0
Xw0_pd2_1_nand4,Xw0_pd2_1_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,7.84,7.84,3.92,FS,bottom_ctrl_1
Xw0_pd2_2_nand4,Xw0_pd2_2_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,11.76,7.84,3.92,N,bottom_ctrl_2
Xw0_pd2_3_nand4,Xw0_pd2_3_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,15.68,7.84,3.92,FS,bottom_ctrl_3
Xw0_pd2_4_nand4,Xw0_pd2_4_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,19.6,7.84,3.92,N,bottom_ctrl_4
Xw0_pd2_5_nand4,Xw0_pd2_5_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,23.52,7.84,3.92,FS,bottom_ctrl_5
Xw0_pd2_6_nand4,Xw0_pd2_6_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,27.439999999999998,7.84,3.92,N,bottom_ctrl_6
Xw0_pd2_7_nand4,Xw0_pd2_7_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,31.36,7.84,3.92,FS,bottom_ctrl_7
Xw0_pd2_8_nand4,Xw0_pd2_8_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,1152.68,7.84,3.92,N,top_ctrl_0
Xw0_pd2_9_nand4,Xw0_pd2_9_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,1156.6000000000001,7.84,3.92,FS,top_ctrl_1
Xw0_pd2_10_nand4,Xw0_pd2_10_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,1160.52,7.84,3.92,N,top_ctrl_2
Xw0_pd2_11_nand4,Xw0_pd2_11_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,0.56,1164.44,7.84,3.92,FS,top_ctrl_3
Xw0_pd2_12_nand4,Xw0_pd2_12_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,8.4,3.92,7.84,3.92,N,bottom_ctrl_0
Xw0_pd2_13_nand4,Xw0_pd2_13_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,8.4,7.84,7.84,3.92,FS,bottom_ctrl_1
Xw0_pd2_14_nand4,Xw0_pd2_14_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,8.4,11.76,7.84,3.92,N,bottom_ctrl_2
Xw0_pd2_15_nand4,Xw0_pd2_15_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,8.4,15.68,7.84,3.92,FS,bottom_ctrl_3
Xw1_pd2_0_nand4,Xw1_pd2_0_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,8.4,19.6,7.84,3.92,N,bottom_ctrl_4
Xw1_pd2_1_nand4,Xw1_pd2_1_nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,8.4,23.52,7.84,3.92,FS,bottom_ctrl_5
