name,original_name,role,cell,port,row_index,x_um,y_um,width_um,height_um,orient
Xw0_row0008_sel_buf1,Xw0_row0008_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,8,26.64,74.82,2.24,3.92,N
Xw0_row0008_sel_buf2,Xw0_row0008_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,8,28.88,74.82,2.24,3.92,N
Xw0_row0009_sel_nand4,Xw0_row0009_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,9,16.56,79.145,7.84,3.92,N
Xw0_row0009_sel_buf0,Xw0_row0009_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,9,24.4,79.145,2.24,3.92,N
Xw0_row0009_sel_buf1,Xw0_row0009_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,9,26.64,79.145,2.24,3.92,N
Xw0_row0009_sel_buf2,Xw0_row0009_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,9,28.88,79.145,2.24,3.92,N
Xw0_row0010_sel_nand4,Xw0_row0010_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,10,16.56,83.47,7.84,3.92,N
Xw0_row0010_sel_buf0,Xw0_row0010_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,10,24.4,83.47,2.24,3.92,N
Xw0_row0010_sel_buf1,Xw0_row0010_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,10,26.64,83.47,2.24,3.92,N
Xw0_row0010_sel_buf2,Xw0_row0010_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,10,28.88,83.47,2.24,3.92,N
Xw0_row0011_sel_nand4,Xw0_row0011_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,11,16.56,87.8,7.84,3.92,N
Xw0_row0011_sel_buf0,Xw0_row0011_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,11,24.4,87.8,2.24,3.92,N
Xw0_row0011_sel_buf1,Xw0_row0011_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,11,26.64,87.8,2.24,3.92,N
Xw0_row0011_sel_buf2,Xw0_row0011_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,11,28.88,87.8,2.24,3.92,N
Xw0_row0012_sel_nand4,Xw0_row0012_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,12,16.56,92.125,7.84,3.92,N
Xw0_row0012_sel_buf0,Xw0_row0012_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,12,24.4,92.125,2.24,3.92,N
Xw0_row0012_sel_buf1,Xw0_row0012_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,12,26.64,92.125,2.24,3.92,N
Xw0_row0012_sel_buf2,Xw0_row0012_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,12,28.88,92.125,2.24,3.92,N
Xw0_row0013_sel_nand4,Xw0_row0013_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,13,16.56,96.455,7.84,3.92,N
Xw0_row0013_sel_buf0,Xw0_row0013_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,13,24.4,96.455,2.24,3.92,N
Xw0_row0013_sel_buf1,Xw0_row0013_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,13,26.64,96.455,2.24,3.92,N
Xw0_row0013_sel_buf2,Xw0_row0013_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,13,28.88,96.455,2.24,3.92,N
Xw0_row0014_sel_nand4,Xw0_row0014_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,14,16.56,100.78,7.84,3.92,N
Xw0_row0014_sel_buf0,Xw0_row0014_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,14,24.4,100.78,2.24,3.92,N
Xw0_row0014_sel_buf1,Xw0_row0014_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,14,26.64,100.78,2.24,3.92,N
Xw0_row0014_sel_buf2,Xw0_row0014_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,14,28.88,100.78,2.24,3.92,N
Xw0_row0015_sel_nand4,Xw0_row0015_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,15,16.56,105.105,7.84,3.92,N
Xw0_row0015_sel_buf0,Xw0_row0015_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,15,24.4,105.105,2.24,3.92,N
