index,block,mos,role,x_units,y_units,x_um,y_um
1,nand4,nmos,nand_n0,600,4440,3.0,22.2
2,nand4,nmos,nand_n1,1032,4440,5.16,22.2
3,nand4,nmos,nand_n2,1464,4440,7.32,22.2
4,nand4,nmos,nand_n3,1896,4440,9.48,22.2
5,nand4,pmos,nand_p0,600,5379,3.0,26.895
6,nand4,pmos,nand_p1,1204,5379,6.02,26.895
7,nand4,pmos,nand_p2,1808,5379,9.04,26.895
8,nand4,pmos,nand_p3,2412,5379,12.06,26.895
