cell,primitive,description,width_um,height_um,area_um2,device_count,nmos_count,pmos_count,pin_count,drc_errors,lvs_result,disconnected_pins,magic,gds,lef,reference_cdl,extracted_spice,extracted_rc_spice,pins_json,placements_csv,drc_log,extract_log,netgen_lvs_log
detronyx_12t_ctrl_inv_rc7,inv,single inverter,13.42,41.995,563.5729,2,1,1,4,0,match_unique,0,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/magic/detronyx_12t_ctrl_inv_rc7.mag,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/layout/detronyx_12t_ctrl_inv_rc7.gds,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/abstract/detronyx_12t_ctrl_inv_rc7.lef,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/abstract/detronyx_12t_ctrl_inv_rc7.reference.cdl,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/layout/detronyx_12t_ctrl_inv_rc7.current_pdk.spice,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/layout/detronyx_12t_ctrl_inv_rc7.current_pdk_rc.spice,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/abstract/detronyx_12t_ctrl_inv_rc7.pins.json,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/detronyx_12t_ctrl_inv_rc7.placements.csv,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/layout/detronyx_12t_ctrl_inv_rc7.drc.log,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/layout/detronyx_12t_ctrl_inv_rc7.magic.log,reports/control_leaf_library/detronyx_12t_ctrl_inv_rc7/layout/detronyx_12t_ctrl_inv_rc7.netgen_lvs.log
detronyx_12t_ctrl_nand2_rc7,nand2,2-input NAND,17.84,51.135,912.2484,4,2,2,5,0,match_unique,0,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/magic/detronyx_12t_ctrl_nand2_rc7.mag,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/layout/detronyx_12t_ctrl_nand2_rc7.gds,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/abstract/detronyx_12t_ctrl_nand2_rc7.lef,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/abstract/detronyx_12t_ctrl_nand2_rc7.reference.cdl,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/layout/detronyx_12t_ctrl_nand2_rc7.current_pdk.spice,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/layout/detronyx_12t_ctrl_nand2_rc7.current_pdk_rc.spice,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/abstract/detronyx_12t_ctrl_nand2_rc7.pins.json,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/detronyx_12t_ctrl_nand2_rc7.placements.csv,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/layout/detronyx_12t_ctrl_nand2_rc7.drc.log,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/layout/detronyx_12t_ctrl_nand2_rc7.magic.log,reports/control_leaf_library/detronyx_12t_ctrl_nand2_rc7/layout/detronyx_12t_ctrl_nand2_rc7.netgen_lvs.log
detronyx_12t_ctrl_nand3_rc7,nand3,3-input NAND,22.26,60.275,1341.7215,6,3,3,6,0,match_unique,0,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/magic/detronyx_12t_ctrl_nand3_rc7.mag,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/layout/detronyx_12t_ctrl_nand3_rc7.gds,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/abstract/detronyx_12t_ctrl_nand3_rc7.lef,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/abstract/detronyx_12t_ctrl_nand3_rc7.reference.cdl,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/layout/detronyx_12t_ctrl_nand3_rc7.current_pdk.spice,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/layout/detronyx_12t_ctrl_nand3_rc7.current_pdk_rc.spice,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/abstract/detronyx_12t_ctrl_nand3_rc7.pins.json,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/detronyx_12t_ctrl_nand3_rc7.placements.csv,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/layout/detronyx_12t_ctrl_nand3_rc7.drc.log,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/layout/detronyx_12t_ctrl_nand3_rc7.magic.log,reports/control_leaf_library/detronyx_12t_ctrl_nand3_rc7/layout/detronyx_12t_ctrl_nand3_rc7.netgen_lvs.log
detronyx_12t_ctrl_nand4_rc7,nand4,4-input NAND,26.68,69.415,1851.9922,8,4,4,7,0,match_unique,0,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/magic/detronyx_12t_ctrl_nand4_rc7.mag,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/layout/detronyx_12t_ctrl_nand4_rc7.gds,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/abstract/detronyx_12t_ctrl_nand4_rc7.lef,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/abstract/detronyx_12t_ctrl_nand4_rc7.reference.cdl,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/layout/detronyx_12t_ctrl_nand4_rc7.current_pdk.spice,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/layout/detronyx_12t_ctrl_nand4_rc7.current_pdk_rc.spice,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/abstract/detronyx_12t_ctrl_nand4_rc7.pins.json,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/detronyx_12t_ctrl_nand4_rc7.placements.csv,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/layout/detronyx_12t_ctrl_nand4_rc7.drc.log,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/layout/detronyx_12t_ctrl_nand4_rc7.magic.log,reports/control_leaf_library/detronyx_12t_ctrl_nand4_rc7/layout/detronyx_12t_ctrl_nand4_rc7.netgen_lvs.log
detronyx_12t_ctrl_nor2_rc7,nor2,2-input NOR,17.84,51.135,912.2484,4,2,2,5,0,match_unique,0,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/magic/detronyx_12t_ctrl_nor2_rc7.mag,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/layout/detronyx_12t_ctrl_nor2_rc7.gds,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/abstract/detronyx_12t_ctrl_nor2_rc7.lef,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/abstract/detronyx_12t_ctrl_nor2_rc7.reference.cdl,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/layout/detronyx_12t_ctrl_nor2_rc7.current_pdk.spice,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/layout/detronyx_12t_ctrl_nor2_rc7.current_pdk_rc.spice,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/abstract/detronyx_12t_ctrl_nor2_rc7.pins.json,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/detronyx_12t_ctrl_nor2_rc7.placements.csv,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/layout/detronyx_12t_ctrl_nor2_rc7.drc.log,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/layout/detronyx_12t_ctrl_nor2_rc7.magic.log,reports/control_leaf_library/detronyx_12t_ctrl_nor2_rc7/layout/detronyx_12t_ctrl_nor2_rc7.netgen_lvs.log
detronyx_12t_ctrl_row_select3_wlbuf_rc7,row_select3_wlbuf,compact 3-predecode row-select plus three-stage WL buffer,33.42,83.435,2788.3977,12,6,6,6,0,match_unique,0,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/magic/detronyx_12t_ctrl_row_select3_wlbuf_rc7.mag,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select3_wlbuf_rc7.gds,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/abstract/detronyx_12t_ctrl_row_select3_wlbuf_rc7.lef,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/abstract/detronyx_12t_ctrl_row_select3_wlbuf_rc7.reference.cdl,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select3_wlbuf_rc7.current_pdk.spice,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select3_wlbuf_rc7.current_pdk_rc.spice,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/abstract/detronyx_12t_ctrl_row_select3_wlbuf_rc7.pins.json,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/detronyx_12t_ctrl_row_select3_wlbuf_rc7.placements.csv,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select3_wlbuf_rc7.drc.log,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select3_wlbuf_rc7.magic.log,reports/control_leaf_library/detronyx_12t_ctrl_row_select3_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select3_wlbuf_rc7.netgen_lvs.log
detronyx_12t_ctrl_row_select4_wlbuf_rc7,row_select4_wlbuf,compact 3-predecode row-select plus enable-gated three-stage WL buffer,37.84,92.575,3503.038,14,7,7,7,0,match_unique,0,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/magic/detronyx_12t_ctrl_row_select4_wlbuf_rc7.mag,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select4_wlbuf_rc7.gds,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/abstract/detronyx_12t_ctrl_row_select4_wlbuf_rc7.lef,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/abstract/detronyx_12t_ctrl_row_select4_wlbuf_rc7.reference.cdl,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select4_wlbuf_rc7.current_pdk.spice,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select4_wlbuf_rc7.current_pdk_rc.spice,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/abstract/detronyx_12t_ctrl_row_select4_wlbuf_rc7.pins.json,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/detronyx_12t_ctrl_row_select4_wlbuf_rc7.placements.csv,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select4_wlbuf_rc7.drc.log,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select4_wlbuf_rc7.magic.log,reports/control_leaf_library/detronyx_12t_ctrl_row_select4_wlbuf_rc7/layout/detronyx_12t_ctrl_row_select4_wlbuf_rc7.netgen_lvs.log
