kind,inst,port,bit,macro_pin
read_dout,Xr0_bit00_precharge_sense,r0,0,r0_data[0]
read_rbl_landing,Xr0_bit00_precharge_sense,r0,0,r0_data[0]
read_enable,Xr0_bit00_precharge_sense,r0,0,r0_en
read_precharge_landing,Xr0_bit00_precharge_sense,r0,0,clk
read_dout,Xr0_bit02_precharge_sense,r0,2,r0_data[2]
read_rbl_landing,Xr0_bit02_precharge_sense,r0,2,r0_data[2]
read_enable,Xr0_bit02_precharge_sense,r0,2,r0_en
read_precharge_landing,Xr0_bit02_precharge_sense,r0,2,clk
read_dout,Xr0_bit04_precharge_sense,r0,4,r0_data[4]
read_rbl_landing,Xr0_bit04_precharge_sense,r0,4,r0_data[4]
read_enable,Xr0_bit04_precharge_sense,r0,4,r0_en
read_precharge_landing,Xr0_bit04_precharge_sense,r0,4,clk
read_dout,Xr0_bit06_precharge_sense,r0,6,r0_data[6]
read_rbl_landing,Xr0_bit06_precharge_sense,r0,6,r0_data[6]
read_enable,Xr0_bit06_precharge_sense,r0,6,r0_en
read_precharge_landing,Xr0_bit06_precharge_sense,r0,6,clk
read_dout,Xr0_bit08_precharge_sense,r0,8,r0_data[8]
read_rbl_landing,Xr0_bit08_precharge_sense,r0,8,r0_data[8]
read_enable,Xr0_bit08_precharge_sense,r0,8,r0_en
read_precharge_landing,Xr0_bit08_precharge_sense,r0,8,clk
read_dout,Xr0_bit10_precharge_sense,r0,10,r0_data[10]
read_rbl_landing,Xr0_bit10_precharge_sense,r0,10,r0_data[10]
read_enable,Xr0_bit10_precharge_sense,r0,10,r0_en
read_precharge_landing,Xr0_bit10_precharge_sense,r0,10,clk
read_dout,Xr0_bit12_precharge_sense,r0,12,r0_data[12]
read_rbl_landing,Xr0_bit12_precharge_sense,r0,12,r0_data[12]
read_enable,Xr0_bit12_precharge_sense,r0,12,r0_en
read_precharge_landing,Xr0_bit12_precharge_sense,r0,12,clk
read_dout,Xr0_bit14_precharge_sense,r0,14,r0_data[14]
read_rbl_landing,Xr0_bit14_precharge_sense,r0,14,r0_data[14]
read_enable,Xr0_bit14_precharge_sense,r0,14,r0_en
read_precharge_landing,Xr0_bit14_precharge_sense,r0,14,clk
read_dout,Xr0_bit16_precharge_sense,r0,16,r0_data[16]
read_rbl_landing,Xr0_bit16_precharge_sense,r0,16,r0_data[16]
read_enable,Xr0_bit16_precharge_sense,r0,16,r0_en
read_precharge_landing,Xr0_bit16_precharge_sense,r0,16,clk
read_dout,Xr0_bit18_precharge_sense,r0,18,r0_data[18]
read_rbl_landing,Xr0_bit18_precharge_sense,r0,18,r0_data[18]
read_enable,Xr0_bit18_precharge_sense,r0,18,r0_en
read_precharge_landing,Xr0_bit18_precharge_sense,r0,18,clk
read_dout,Xr0_bit20_precharge_sense,r0,20,r0_data[20]
read_rbl_landing,Xr0_bit20_precharge_sense,r0,20,r0_data[20]
read_enable,Xr0_bit20_precharge_sense,r0,20,r0_en
read_precharge_landing,Xr0_bit20_precharge_sense,r0,20,clk
read_dout,Xr0_bit22_precharge_sense,r0,22,r0_data[22]
read_rbl_landing,Xr0_bit22_precharge_sense,r0,22,r0_data[22]
read_enable,Xr0_bit22_precharge_sense,r0,22,r0_en
read_precharge_landing,Xr0_bit22_precharge_sense,r0,22,clk
read_dout,Xr0_bit24_precharge_sense,r0,24,r0_data[24]
read_rbl_landing,Xr0_bit24_precharge_sense,r0,24,r0_data[24]
read_enable,Xr0_bit24_precharge_sense,r0,24,r0_en
