kind,inst,port,bit,macro_pin
write_wbr_landing,Xw1_bit14_write_driver,w1,14,w1_data[14]
write_din,Xw1_bit16_write_driver,w1,16,w1_data[16]
write_enable,Xw1_bit16_write_driver,w1,16,w1_en
write_wbl_landing,Xw1_bit16_write_driver,w1,16,w1_data[16]
write_wbr_landing,Xw1_bit16_write_driver,w1,16,w1_data[16]
write_din,Xw1_bit18_write_driver,w1,18,w1_data[18]
write_enable,Xw1_bit18_write_driver,w1,18,w1_en
write_wbl_landing,Xw1_bit18_write_driver,w1,18,w1_data[18]
write_wbr_landing,Xw1_bit18_write_driver,w1,18,w1_data[18]
write_din,Xw1_bit20_write_driver,w1,20,w1_data[20]
write_enable,Xw1_bit20_write_driver,w1,20,w1_en
write_wbl_landing,Xw1_bit20_write_driver,w1,20,w1_data[20]
write_wbr_landing,Xw1_bit20_write_driver,w1,20,w1_data[20]
write_din,Xw1_bit22_write_driver,w1,22,w1_data[22]
write_enable,Xw1_bit22_write_driver,w1,22,w1_en
write_wbl_landing,Xw1_bit22_write_driver,w1,22,w1_data[22]
write_wbr_landing,Xw1_bit22_write_driver,w1,22,w1_data[22]
write_din,Xw1_bit24_write_driver,w1,24,w1_data[24]
write_enable,Xw1_bit24_write_driver,w1,24,w1_en
write_wbl_landing,Xw1_bit24_write_driver,w1,24,w1_data[24]
write_wbr_landing,Xw1_bit24_write_driver,w1,24,w1_data[24]
write_din,Xw1_bit26_write_driver,w1,26,w1_data[26]
write_enable,Xw1_bit26_write_driver,w1,26,w1_en
write_wbl_landing,Xw1_bit26_write_driver,w1,26,w1_data[26]
write_wbr_landing,Xw1_bit26_write_driver,w1,26,w1_data[26]
write_din,Xw1_bit28_write_driver,w1,28,w1_data[28]
write_enable,Xw1_bit28_write_driver,w1,28,w1_en
write_wbl_landing,Xw1_bit28_write_driver,w1,28,w1_data[28]
write_wbr_landing,Xw1_bit28_write_driver,w1,28,w1_data[28]
write_din,Xw1_bit30_write_driver,w1,30,w1_data[30]
write_enable,Xw1_bit30_write_driver,w1,30,w1_en
write_wbl_landing,Xw1_bit30_write_driver,w1,30,w1_data[30]
write_wbr_landing,Xw1_bit30_write_driver,w1,30,w1_data[30]
write_din,Xw1_bit01_write_driver,w1,1,w1_data[1]
write_enable,Xw1_bit01_write_driver,w1,1,w1_en
write_wbl_landing,Xw1_bit01_write_driver,w1,1,w1_data[1]
write_wbr_landing,Xw1_bit01_write_driver,w1,1,w1_data[1]
write_din,Xw1_bit03_write_driver,w1,3,w1_data[3]
write_enable,Xw1_bit03_write_driver,w1,3,w1_en
write_wbl_landing,Xw1_bit03_write_driver,w1,3,w1_data[3]
write_wbr_landing,Xw1_bit03_write_driver,w1,3,w1_data[3]
write_din,Xw1_bit05_write_driver,w1,5,w1_data[5]
write_enable,Xw1_bit05_write_driver,w1,5,w1_en
write_wbl_landing,Xw1_bit05_write_driver,w1,5,w1_data[5]
write_wbr_landing,Xw1_bit05_write_driver,w1,5,w1_data[5]
write_din,Xw1_bit07_write_driver,w1,7,w1_data[7]
write_enable,Xw1_bit07_write_driver,w1,7,w1_en
write_wbl_landing,Xw1_bit07_write_driver,w1,7,w1_data[7]
write_wbr_landing,Xw1_bit07_write_driver,w1,7,w1_data[7]
write_din,Xw1_bit09_write_driver,w1,9,w1_data[9]
write_enable,Xw1_bit09_write_driver,w1,9,w1_en
write_wbl_landing,Xw1_bit09_write_driver,w1,9,w1_data[9]
write_wbr_landing,Xw1_bit09_write_driver,w1,9,w1_data[9]
write_din,Xw1_bit11_write_driver,w1,11,w1_data[11]
write_enable,Xw1_bit11_write_driver,w1,11,w1_en
write_wbl_landing,Xw1_bit11_write_driver,w1,11,w1_data[11]
write_wbr_landing,Xw1_bit11_write_driver,w1,11,w1_data[11]
write_din,Xw1_bit13_write_driver,w1,13,w1_data[13]
write_enable,Xw1_bit13_write_driver,w1,13,w1_en
write_wbl_landing,Xw1_bit13_write_driver,w1,13,w1_data[13]
write_wbr_landing,Xw1_bit13_write_driver,w1,13,w1_data[13]
write_din,Xw1_bit15_write_driver,w1,15,w1_data[15]
write_enable,Xw1_bit15_write_driver,w1,15,w1_en
write_wbl_landing,Xw1_bit15_write_driver,w1,15,w1_data[15]
write_wbr_landing,Xw1_bit15_write_driver,w1,15,w1_data[15]
write_din,Xw1_bit17_write_driver,w1,17,w1_data[17]
write_enable,Xw1_bit17_write_driver,w1,17,w1_en
write_wbl_landing,Xw1_bit17_write_driver,w1,17,w1_data[17]
write_wbr_landing,Xw1_bit17_write_driver,w1,17,w1_data[17]
write_din,Xw1_bit19_write_driver,w1,19,w1_data[19]
write_enable,Xw1_bit19_write_driver,w1,19,w1_en
write_wbl_landing,Xw1_bit19_write_driver,w1,19,w1_data[19]
write_wbr_landing,Xw1_bit19_write_driver,w1,19,w1_data[19]
write_din,Xw1_bit21_write_driver,w1,21,w1_data[21]
write_enable,Xw1_bit21_write_driver,w1,21,w1_en
write_wbl_landing,Xw1_bit21_write_driver,w1,21,w1_data[21]
write_wbr_landing,Xw1_bit21_write_driver,w1,21,w1_data[21]
write_din,Xw1_bit23_write_driver,w1,23,w1_data[23]
write_enable,Xw1_bit23_write_driver,w1,23,w1_en
write_wbl_landing,Xw1_bit23_write_driver,w1,23,w1_data[23]
write_wbr_landing,Xw1_bit23_write_driver,w1,23,w1_data[23]
write_din,Xw1_bit25_write_driver,w1,25,w1_data[25]
write_enable,Xw1_bit25_write_driver,w1,25,w1_en
write_wbl_landing,Xw1_bit25_write_driver,w1,25,w1_data[25]
write_wbr_landing,Xw1_bit25_write_driver,w1,25,w1_data[25]
write_din,Xw1_bit27_write_driver,w1,27,w1_data[27]
write_enable,Xw1_bit27_write_driver,w1,27,w1_en
write_wbl_landing,Xw1_bit27_write_driver,w1,27,w1_data[27]
write_wbr_landing,Xw1_bit27_write_driver,w1,27,w1_data[27]
write_din,Xw1_bit29_write_driver,w1,29,w1_data[29]
write_enable,Xw1_bit29_write_driver,w1,29,w1_en
write_wbl_landing,Xw1_bit29_write_driver,w1,29,w1_data[29]
write_wbr_landing,Xw1_bit29_write_driver,w1,29,w1_data[29]
write_din,Xw1_bit31_write_driver,w1,31,w1_data[31]
write_enable,Xw1_bit31_write_driver,w1,31,w1_en
write_wbl_landing,Xw1_bit31_write_driver,w1,31,w1_data[31]
write_wbr_landing,Xw1_bit31_write_driver,w1,31,w1_data[31]
